At what kind of facilities would you like to see the meetup?,At what skill level would you like to see events hosted?,How are you using Python?,How frequently would you be interested in attending MadPy meetings?,How would you prefer to communicate with the group online?,Is alcohol okay at meetups?,Is food okay at meetups?,What day(s) of the week work best for you?,What do you want to get out of a Madison Python meetup?,What format(s) of events would you like to see at MadPy?,What kind(s) of events would you like to see at MadPy?,What other tech meetups do you go to?,What time(s) of day work best for you?,Where in town works best for you to attend the meetup?
"Libraries, Offices, University works best for many and many (like Wisconsin Institute for Discovery or CS/engineering department)",Intermediate,"Science (scientific & numeric computing/data science), deep learning, computer vision",Weekly,"Email, Slack channel",Yes,Yes,Thursday,learn new skills and get informed about new libraries,"Python Schooling, interactive workshop where the instructor codes and we follow in groups of 5 or so with a mentor at each table","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps, deep learning, machine learning","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown"
"Libraries, Bars, Restaurants, coffee shops","Introductory, Intermediate, Expert",Education (teaching & undergraduate studies),A few times a year,Email,Yes,Yes,"Tuesday, Thursday, Friday","Skills training, collaboration on or help with projects, networking","Presentations, Python Schooling","Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech),Work hours (8am - 6pm),"Downtown, East"
"Libraries, Offices","Introductory, Intermediate",Science (scientific & numeric computing/data science),Monthly,Email,No,Yes,"Saturday, Sunday",,Python Schooling,Science (scientific & numeric computing/data science),,Work hours (8am - 6pm),Near West
,Intermediate,"Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Monthly,Email,Yes,Yes,Wednesday,"A community.  I want to know other members well enough that I would recognize them by name on the street and I could call them and meet for lunch, etc.. Lectures, presentations, etc... are not as valuable to me because there are already are so many online sources of information about python.","Presentations, Hack Nights, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Madison Area Software Devs (http://www.meetup.com/softwaredev-113),After work hours (6pm - 9pm),Near West
"Libraries, Offices",Intermediate,"Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,Email,Yes,Yes,"Wednesday, Thursday",,"Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",After work hours (6pm - 9pm),Near West
"Libraries, Restaurants, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps","Monthly, Weekly","Email, Slack channel, IRC channel",Yes,Yes,"Monday, Tuesday, Thursday, Sunday","Network with other devs in the area, especially with being able to find a mentor (for myself or for others). Other things that would be cool include being able to join already-established projects - I'm not sure how that would work but it would be nice for someone like me, newer to the dev industry, to have an in for finding projects to build a resume.","Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Web (django/flask/other web development), SysAdmin/DevOps",Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech),"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Downtown, East"
Libraries,"Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),A few times a year,Email,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Python Schooling, Social","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)","Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech)",After work hours (6pm - 9pm),"Near West, Downtown"
Libraries,"Introductory, Intermediate","Software (engineering/developing), Data utilities",Monthly,Email,No,Yes,Wednesday,,"Presentations, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Downtown, East"
,"Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,"Email, Slack channel",Yes,Yes,"Tuesday, Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling, Social","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",,After work hours (6pm - 9pm),Downtown
"Libraries, Bars, Offices","Introductory, Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,Slack channel,Yes,Yes,"Monday, Tuesday, Wednesday",To learn new tools and tricks and meet people with other areas of Python expertise,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science)",Data Science Madison (http://www.meetup.com/Data-Science-Madison),After work hours (6pm - 9pm),Downtown
"Libraries, Offices","Intermediate, Expert","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), SysAdmin/DevOps",Monthly,Email,Yes,Yes,,,"Presentations, Hack Nights, Python Schooling, Social","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Elastic Madison (https://www.meetup.com/Madison-Milwaukee-Elastic-Fantastics), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Restaurants, Offices","Introductory, Intermediate",,A few times a year,Email,Yes,Yes,,I have only dabbled so far. I would like to learn in an applied way to help me getting started. ,"Presentations, Python Schooling","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group),"Work hours (8am - 6pm), After work hours (6pm - 9pm)",East
"Libraries, Offices",Intermediate,Science (scientific & numeric computing/data science),Monthly,Email,No,Yes,"Thursday, Saturday, Sunday",more fun stuff you can do with Python ,"Hack Nights, Social","Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate)",,After work hours (6pm - 9pm),Downtown
"Libraries, Bars, Restaurants, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps",,,Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate), Web (django/flask/other web development), SysAdmin/DevOps","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)",Monthly,"Email, Slack channel, IRC channel",No,Yes,"Monday, Saturday, Sunday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Data Science Madison (http://www.meetup.com/Data-Science-Madison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113), Madison Java User Group (https://www.meetup.com/Madison-Java-User-Group-Meetup)",After work hours (6pm - 9pm),"Far West, Near West"
"Bars, Offices, classrooms","Introductory, Intermediate",Interested; not yet using Python,Monthly,"Email, Slack channel",Yes,Yes,"Tuesday, Thursday, Saturday, Sunday",Be able to use Python for research-related purposes,Presentations,"Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate)",,After work hours (6pm - 9pm),"Near West, Downtown"
"Libraries, Restaurants, Offices","Introductory, Beginner, Intermediate, Expert","Software (engineering/developing), Web (django/flask/other web development)",,,"After meeting, or if meeting at restaurant.",Yes,"Thursday, Friday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Web (django/flask/other web development)",Madison Area Software Devs (http://www.meetup.com/softwaredev-113),After work hours (6pm - 9pm),"Near West, Downtown, East"
"Libraries, Offices",Intermediate,"Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Monthly,Email,Yes,Yes,"Tuesday, Wednesday",,"Presentations, Python Schooling","Science (scientific & numeric computing/data science), Web (django/flask/other web development)",,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown"
"Libraries, Bars, Restaurants, Offices","Introductory, Intermediate","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","A few times a year, Monthly",Email,Yes,Yes,"Monday, Wednesday, Friday, Saturday, Sunday",New skills and mentors. ,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",Madison Women in Tech (https://www.meetup.com/Madison-Women-in-Tech),After work hours (6pm - 9pm),Near West
"Libraries, Bars, Offices","Introductory, Intermediate",Science (scientific & numeric computing/data science),A few times a year,"Email, Slack channel",Drinks after?,Yes,"Tuesday, Wednesday, Thursday",Smart people showing how to do cool things,"Presentations, Python Schooling, Social, Lightning talks / show and tell","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (grade school/high school/undergraduate), SysAdmin/DevOps","Data Science Madison (http://www.meetup.com/Data-Science-Madison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group)",After work hours (6pm - 9pm),"Near West, Downtown, East"
"Libraries, Bars, Restaurants, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)","A few times a year, Monthly","Email, Slack channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday, Sunday",,"Presentations, Hack Nights","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",,After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Restaurants, Offices","Intermediate, Expert",Science (scientific & numeric computing/data science),Monthly,"Email, Slack channel",Yes,No,"Monday, Tuesday, Thursday","Wide range of skills, examples","Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)","Big Data Madison (https://www.meetup.com/BigDataMadison), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), Madison power bi, Tableau, pass,",After work hours (6pm - 9pm),"Downtown, East"
"Libraries, Offices",Introductory,Education (teaching & undergraduate studies),Monthly,Email,Yes,Yes,"Monday, Wednesday, Thursday",more collegialty,"Presentations, Social","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)","MadJS (https://www.meetup.com/MadisonJS), Big Data Madison (https://www.meetup.com/BigDataMadison), Madison DevOps (https://www.meetup.com/Madison-Devops), MadR (https://www.meetup.com/MadR-Madison-R-Programming-UseRs-Group), MadHackers (https://www.meetup.com/madhackers), Mad-Railers (https://www.meetup.com/Mad-Railers)","After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",Downtown
"Libraries, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), Education (teaching & undergraduate studies)",Monthly,Email,Yes,Yes,"Tuesday, Thursday",Lear more business applications of python in real world,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",Big Data Madison (https://www.meetup.com/BigDataMadison),After work hours (6pm - 9pm),Downtown
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science)","A few times a year, Monthly",Email,Yes,Yes,"Wednesday, Thursday",,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",Big Data Madison (https://www.meetup.com/BigDataMadison),"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)",Downtown
"Libraries, Offices","Introductory, Intermediate, Expert","Software (engineering/developing), SysAdmin/DevOps",Monthly,Email,Yes,Yes,"Monday, Tuesday",,"Presentations, Hack Nights, Python Schooling, Social","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development), SysAdmin/DevOps","Big Data Madison (https://www.meetup.com/BigDataMadison), Madison Area Software Devs (http://www.meetup.com/softwaredev-113)",After work hours (6pm - 9pm),"Far West, Near West, Downtown"
"Bars, Restaurants, Anywhere with beer",,Science (scientific & numeric computing/data science),,,Yes,Yes,"Tuesday, Thursday, Saturday",,"Presentations, Hack Nights, Python Schooling, Social",,,"After work hours (6pm - 9pm), Night/bar time (9pm - 2am)","Near West, Downtown, East"
"Libraries, Offices","Intermediate, Expert","Software (engineering/developing), Science (scientific & numeric computing/data science), Web (django/flask/other web development)",Monthly,"Email, Slack channel",Yes,Yes,,,"Presentations, Hack Nights, Python Schooling","Software (engineering/developing), Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies), Web (django/flask/other web development), SysAdmin/DevOps",,After work hours (6pm - 9pm),"Downtown, East"
Libraries,"Introductory, Intermediate","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",Monthly,"Email, Slack channel",Yes,Yes,"Monday, Tuesday, Wednesday, Thursday",Improve my Python coding skills,"Presentations, Hack Nights, Python Schooling","Science (scientific & numeric computing/data science), Education (teaching & undergraduate studies)",,"Work hours (8am - 6pm), After work hours (6pm - 9pm)",Downtown
